ID_PEDIDO,FECHA,ID_CLIENTE,Cliente,ID_VENDEDOR,VENDEDOR,Genero_Vendedor,Sucursal_Vendedor,Provincia_Vendedor,latitud,longitud,Region_Vendedor,ID_PRODUCTO,Nombre_Producto,PRECIO_COMPRA,PRECIO_VENTA,CANTIDAD,INGRESO_TOTAL,foto_Productos_url,foto_Vendedor_url
1,2022-01-13,18,Marta Ramos,3,Ana Santana,Femenino,Sucursal C,Hato Mayor,18.7667,-69.25,NORTE,10,Agua potable,10,30,11,618.64,https://www.lenntech.com/images/Water/bottled.png,https://dl.dropboxusercontent.com/s/2lks10yyiurw2b0/A33.png
2,2023-06-06,4,Laura Diaz,12,María Rodríguez,Femenino,Sucursal D,Barahona,18.2085,-71.1007,ESTE,1,Leche,50,70,93,9139.11,https://png.pngtree.com/png-vector/20240206/ourmid/pngtree-gallon-of-milk-isolated-on-white-drink-cutout-lactosefresh-png-image_11635524.png,https://dl.dropbox.com/s/yxe96df3xrzoc4y/A44.png
3,2024-06-02,16,Paula Diaz,10,Laura Mendoza,Femenino,Sucursal B,La Vega,19.2167,-70.5167,SUR,8,Yogur,30,50,36,1873.08,https://perulabecologic.com.pe/wp-content/uploads/2020/04/yogurt-natural-botella.png,https://dl.dropbox.com/s/z4geyw1u2psmm47/A16.png
4,2021-04-11,12,Sofía Comila,7,Juan Comila,Masculino,Sucursal C,Puerto Plata,19.7907,-70.6907,SUR,8,Yogur,30,50,25,2230.25,https://perulabecologic.com.pe/wp-content/uploads/2020/04/yogurt-natural-botella.png,https://dl.dropbox.com/s/jveyj0btov87izo/A38.png
5,2023-08-25,10,Carmen Santana,6,Jorge Ramos,Masculino,Sucursal B,Santiago,19.4515,-70.6973,SUR,15,Miel,75,95,10,774.0,https://prodexspa.com/wp-content/uploads/2023/05/foto_miel_apoyo_low.png,https://dl.dropbox.com/s/1f9hzgblcmuen4a/A10.png
6,2020-06-10,21,Javier Diaz,11,Pedro Gómez,Masculino,Sucursal C,Azua,18.4667,-70.7333,ESTE,2,Legumbres,30,50,96,7831.68,https://hslegumbres.com.ar/wp-content/uploads/2019/09/legumbres-min.png,https://dl.dropbox.com/s/4bz1xriny7ro04g/A40.png
7,2020-12-26,26,Patricia Vizcaino,7,Juan Comila,Masculino,Sucursal C,Puerto Plata,19.7907,-70.6907,SUR,7,Huevos,35,55,5,326.5,https://acdn.mitiendanube.com/stores/001/926/707/products/mesa-de-trabajo-11-ab4aedeb4966ce692416358047799893-640-0.png,https://dl.dropbox.com/s/jveyj0btov87izo/A38.png
8,2022-05-24,26,Patricia Vizcaino,15,Javier Martínez,Masculino,Sucursal C,Peravia,18.2833,-70.3333,ESTE,2,Legumbres,30,50,12,1057.2,https://hslegumbres.com.ar/wp-content/uploads/2019/09/legumbres-min.png,https://dl.dropboxusercontent.com/s/id0gj57k6z3m73q/A34.png
9,2020-04-07,23,Andrés Ramos,1,Juan Perez,Masculino,Sucursal A,La Altagracia,18.6167,-68.7167,NORTE,3,Frutas frescas,20,40,57,5599.11,https://www.elmonaguillo.com/images/productos/frutas_deshidratadas/10.1_frutas_deshidratadas.png,https://dl.dropbox.com/s/4bz1xriny7ro04g/A40.png
10,2021-04-22,18,Marta Ramos,2,Maria Vizcaino,Femenino,Sucursal B,El Seibo,18.7667,-69.0333,NORTE,2,Legumbres,30,50,65,4401.15,https://hslegumbres.com.ar/wp-content/uploads/2019/09/legumbres-min.png,https://dl.dropbox.com/s/yxe96df3xrzoc4y/A44.png
11,2022-05-05,5,Carlos Bergara,8,Juan Gabrie,Masculino,Sucursal D,Duarte,19.197,-70.684,SUR,13,Pescado,50,70,75,6192.0,https://res.cloudinary.com/oita/image/upload/v1688057414/Merco/Parte%205/7720_PESCADO_PARA_CALDO_m4getv.png,https://dl.dropbox.com/s/z4geyw1u2psmm47/A16.png
12,2023-04-21,3,José Santana,8,Juan Gabrie,Masculino,Sucursal D,Duarte,19.197,-70.684,SUR,6,Arroz,25,45,44,3978.92,https://hudamar.com.ar/wp-content/uploads/2023/10/55d62459-872f-44fd-b13f-b8dec6a18061.png,https://dl.dropbox.com/s/z4geyw1u2psmm47/A16.png
13,2022-05-10,14,Isabel Vizcaino,6,Jorge Ramos,Masculino,Sucursal B,Santiago,19.4515,-70.6973,SUR,14,Queso,65,85,49,3839.64,https://covica.es/wp-content/uploads/2022/11/QUESOS_36-removebg-preview.png,https://dl.dropbox.com/s/1f9hzgblcmuen4a/A10.png
14,2020-03-31,29,Sergio Bergara,10,Laura Mendoza,Femenino,Sucursal B,La Vega,19.2167,-70.5167,SUR,14,Queso,65,85,7,368.76,https://covica.es/wp-content/uploads/2022/11/QUESOS_36-removebg-preview.png,https://dl.dropbox.com/s/z4geyw1u2psmm47/A16.png
